"Отметка времени","Где вы живете? ","Ваш род занятий? ","Как вы предпочитаете искать соседа? ","Насколько эффективно, на ваш взгляд, тематические платформы решают проблему поиска сожителя? (Оцените от 1 до 5)","Живете ли вы один/одна или с кем-то? ","Насколько для вас важна возможность выбрать соседа/соседку с похожими интересами? (Оцените от 1 до 5)","Как часто вам приходится менять жилье? ","Насколько легко вам было найти соседей или соседку, если вы живете с кем-то?  (Оцените от 1 до 5)","Что вы считаете самым трудным при поиске нового жилья или соседа?","Интересен ли вам сервис, который поможет подобрать жилье и соседа по вашим предпочтениям?  (Оцените от 1 до 5)"
"2024/11/04 11:58:16 AM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","1","Реже одного раза в год","1","Найти надежных людей","1"
"2024/11/04 12:00:42 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","4","Реже одного раза в год","4","Найти жилье по удобной цене","5"
"2024/11/04 12:05:56 PM GMT+5","Общежитие","Студент","Через друзей","2","С соседом/соседкой","2","Каждый год","4","Найти жилье по удобной цене","2"
"2024/11/04 12:17:29 PM GMT+5","Квартира","Студент","Через друзей","4","С другом/подругой","3","Реже одного раза в год","4","Найти надежных людей","4"
"2024/11/04 12:24:49 PM GMT+5","Квартира","Студент","Через друзей","1","С другом/подругой","2","Реже одного раза в год","1","Найти место, где есть обширный выбор услуг","4"
"2024/11/04 12:35:23 PM GMT+5","Аренда","Работник","Через друзей","5","С другом/подругой","5","Реже одного раза в год","3","Найти надежных людей","5"
"2024/11/04 12:36:20 PM GMT+5","Квартира","Студент","Через социальные сети","4","С другом/подругой","5","Реже одного раза в год","1","Найти жилье по удобной цене","5"
"2024/11/04 12:37:00 PM GMT+5","Квартира","Работник","Через социальные сети","1","С другом/подругой","1","Реже одного раза в год","1","Найти жилье по удобной цене","1"
"2024/11/04 12:46:25 PM GMT+5","Аренда","Работник","Через социальные сети","5","Один(а)","5","Очень часто","5","Найти жилье по удобной цене","5"
"2024/11/04 1:16:37 PM GMT+5","Общежитие","Студент","Через друзей","5","С другом/подругой","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/04 1:17:09 PM GMT+5","Общежитие","Студент","Через друзей","4","С соседом/соседкой","5","Реже одного раза в год","1","Найти жилье по удобной цене","5"
"2024/11/04 1:17:19 PM GMT+5","Собственный дом","Студент","Через социальные сети","4","С семьей","5","Реже одного раза в год","2","Найти жилье по удобной цене","5"
"2024/11/04 1:17:29 PM GMT+5","Общежитие","Студент","Через друзей","3","С соседом/соседкой","5","Очень часто","5","Найти жилье по удобной цене","3"
"2024/11/04 1:17:37 PM GMT+5","Квартира","Студент","Через друзей","1","С другом/подругой","5","Каждые полгода","3","Найти жилье по удобной цене","5"
"2024/11/04 1:20:34 PM GMT+5","Общежитие","Студент","Через друзей","5","С семьей","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/04 1:20:54 PM GMT+5","Аренда","Студент","Через друзей","1","С другом/подругой","4","Каждый год","4","Найти жилье по удобной цене","1"
"2024/11/04 1:21:56 PM GMT+5","Аренда","Студент","Через друзей","4","С другом/подругой","3","Реже одного раза в год","3","Найти жилье по удобной цене","3"
"2024/11/04 1:24:00 PM GMT+5","Общежитие","Студент","Через социальные сети","5","С соседом/соседкой","5","Реже одного раза в год","1","Найти надежных людей","5"
"2024/11/04 1:25:41 PM GMT+5","Общежитие","Студент","Через друзей","5","С другом/подругой","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/04 1:32:22 PM GMT+5","Квартира","Студент","Через друзей","1","Один(а)","2","Каждый год","3","Найти жилье по удобной цене","1"
"2024/11/04 1:36:14 PM GMT+5","Квартира","Студент","Через социальные сети","4","Один(а)","5","Каждые полгода","1","Найти жилье по удобной цене","2"
"2024/11/04 1:48:49 PM GMT+5","Собственный дом","Студент","Через друзей","4","С семьей","3","Реже одного раза в год","5","Найти место, где есть обширный выбор услуг","4"
"2024/11/04 2:00:06 PM GMT+5","Квартира","Студент","Через друзей","2","С семьей","5","Реже одного раза в год","5","Найти надежных людей","3"
"2024/11/04 2:10:11 PM GMT+5","Аренда","Студент","Через друзей","3","С другом/подругой","5","Каждый год","3","Найти надежных людей","5"
"2024/11/04 2:11:34 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","5","Каждый год","3","Найти жилье по удобной цене","5"
"2024/11/04 2:18:44 PM GMT+5","Общежитие","Студент","Через друзей","1","С соседом/соседкой","5","Реже одного раза в год","5","Найти место, где есть обширный выбор услуг","5"
"2024/11/04 2:18:55 PM GMT+5","Квартира","Студент","Через друзей","1","С другом/подругой","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/04 2:34:14 PM GMT+5","Квартира","Студент","Через специализированные сайты","4","Один(а)","3","Каждый год","4","Найти жилье по удобной цене","4"
"2024/11/04 2:38:53 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","3","Каждый год","3","Найти надежных людей","3"
"2024/11/04 2:50:03 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","5","Каждый год","3","Найти место, где есть обширный выбор услуг","5"
"2024/11/04 2:50:09 PM GMT+5","Квартира","Студент","Через друзей","3","С семьей","4","Реже одного раза в год","3","Найти надежных людей","1"
"2024/11/04 3:09:07 PM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","4","Реже одного раза в год","3","Найти надежных людей","3"
"2024/11/04 3:12:09 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","4","Каждый год","3","Найти надежных людей","4"
"2024/11/04 3:15:28 PM GMT+5","Общежитие","Студент","Через друзей","5","Один(а)","5","Реже одного раза в год","1","Найти место, где есть обширный выбор услуг","2"
"2024/11/04 4:01:17 PM GMT+5","Общежитие","Студент","Через друзей","1","С другом/подругой","4","Каждые полгода","4","Найти жилье по удобной цене","1"
"2024/11/04 4:02:14 PM GMT+5","Общежитие","Студент","Через друзей","4","С другом/подругой","5","Каждый год","5","Найти жилье по удобной цене","2"
"2024/11/04 4:10:58 PM GMT+5","Аренда","Студент","Через друзей","3","С другом/подругой","4","Реже одного раза в год","3","Найти надежных людей","5"
"2024/11/04 5:34:37 PM GMT+5","Собственный дом","Студент","Через друзей","4","Один(а)","4","Реже одного раза в год","4","Найти место, где есть обширный выбор услуг","4"
"2024/11/04 5:53:59 PM GMT+5","Собственный дом","Студент","Через друзей","4","С семьей","5","Реже одного раза в год","4","Найти надежных людей","5"
"2024/11/04 5:59:57 PM GMT+5","Аренда","Студент","Через специализированные сайты","3","С другом/подругой","4","Каждый год","3","Найти жилье по удобной цене","5"
"2024/11/04 6:50:32 PM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","5","Реже одного раза в год","3","Найти место, где есть обширный выбор услуг","4"
"2024/11/04 6:50:41 PM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","4","Каждый год","3","Найти надежных людей","3"
"2024/11/04 6:50:55 PM GMT+5","Квартира","Студент","Через друзей","4","С семьей","5","Очень часто","5","Найти надежных людей","5"
"2024/11/04 6:51:48 PM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","4","Каждый год","2","Найти надежных людей","1"
"2024/11/04 6:52:05 PM GMT+5","Собственный дом","Студент","Через друзей","5","С семьей","5","Реже одного раза в год","1","Найти надежных людей","3"
"2024/11/04 6:52:31 PM GMT+5","Общежитие","Студент","Через друзей","3","С соседом/соседкой","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/04 6:52:48 PM GMT+5","Квартира","Студент","Через друзей","3","С семьей","5","Реже одного раза в год","4","Найти надежных людей","3"
"2024/11/04 6:53:01 PM GMT+5","Собственный дом","Студент","Через друзей","2","С семьей","5","Очень часто","1","Найти жилье по удобной цене","1"
"2024/11/04 6:53:52 PM GMT+5","Собственный дом","Студент","Через друзей","3","С другом/подругой","5","Каждые полгода","1","Найти жилье по удобной цене","2"
"2024/11/04 6:53:53 PM GMT+5","Общежитие","Студент","Через друзей","3","С соседом/соседкой","5","Очень часто","4","Найти жилье по удобной цене","5"
"2024/11/04 6:54:17 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","4","Реже одного раза в год","3","Найти жилье по удобной цене","2"
"2024/11/04 6:56:42 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","3","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/04 6:57:53 PM GMT+5","Квартира","Студент","Через социальные сети","3","С другом/подругой","3","Реже одного раза в год","3","Найти жилье по удобной цене","3"
"2024/11/04 6:58:00 PM GMT+5","Собственный дом","Студент","Через друзей","5","С семьей","4","Каждый год","3","Найти надежных людей","4"
"2024/11/04 7:01:04 PM GMT+5","Общежитие","Студент","Через социальные сети","3","С другом/подругой","4","Каждые полгода","4","Найти надежных людей","4"
"2024/11/04 7:08:49 PM GMT+5","Общежитие","Студент","Через друзей","3","С соседом/соседкой","5","Реже одного раза в год","5","Найти надежных людей","2"
"2024/11/04 7:09:02 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","3","Реже одного раза в год","5","Найти место, где есть обширный выбор услуг","3"
"2024/11/04 7:22:01 PM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","3","Реже одного раза в год","2","Найти жилье по удобной цене","3"
"2024/11/04 7:24:43 PM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","4","Реже одного раза в год","3","Найти надежных людей","3"
"2024/11/04 7:32:59 PM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","3","Реже одного раза в год","5","Найти надежных людей","3"
"2024/11/04 7:33:43 PM GMT+5","Собственный дом","Студент","Через специализированные сайты","5","С семьей","5","Реже одного раза в год","5","Найти место, где есть обширный выбор услуг","5"
"2024/11/04 7:41:35 PM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","4","Реже одного раза в год","3","Найти надежных людей","3"
"2024/11/04 7:59:40 PM GMT+5","Собственный дом","Студент","Через друзей","3","С семьей","4","Реже одного раза в год","3","Найти жилье по удобной цене","5"
"2024/11/04 8:01:32 PM GMT+5","Общежитие","Студент","Через друзей","4","С другом/подругой","2","Каждые полгода","5","Найти место, где есть обширный выбор услуг","1"
"2024/11/04 8:18:03 PM GMT+5","Общежитие","Студент","Через друзей","4","С другом/подругой","5","Реже одного раза в год","5","Найти место, где есть обширный выбор услуг","5"
"2024/11/04 10:32:15 PM GMT+5","Собственный дом","Не работаю и не учусь","Через друзей","5","С семьей","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/05 11:18:36 AM GMT+5","Собственный дом","Студент","Через друзей","4","С семьей","5","Реже одного раза в год","2","Найти надежных людей","3"
"2024/11/05 12:40:41 PM GMT+5","Собственный дом","Студент","Через друзей","4","С семьей","5","Реже одного раза в год","5","Найти место, где есть обширный выбор услуг","5"
"2024/11/05 1:38:47 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","4","Реже одного раза в год","4","Найти надежных людей","5"
"2024/11/05 7:15:00 PM GMT+5","Общежитие","Студент","Через друзей","3","С соседом/соседкой","5","Реже одного раза в год","3","Найти надежных людей","4"
"2024/11/05 7:26:34 PM GMT+5","Квартира","Студент","Через друзей","1","С другом/подругой","3","Каждые полгода","1","Найти надежных людей","4"
"2024/11/05 7:26:52 PM GMT+5","Собственный дом","Работник","Через друзей","2","С другом/подругой","4","Очень часто","5","Найти место, где есть обширный выбор услуг","5"
"2024/11/05 7:27:06 PM GMT+5","Общежитие","Не работаю и не учусь","Через специализированные сайты","5","С соседом/соседкой","5","Очень часто","5","Найти место, где есть обширный выбор услуг","5"
"2024/11/05 8:01:02 PM GMT+5","Квартира","Студент","Через друзей","5","С семьей","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/05 8:08:20 PM GMT+5","Квартира","Студент","Через социальные сети","4","С другом/подругой","4","Очень часто","4","Найти надежных людей","5"
"2024/11/05 8:26:07 PM GMT+5","Квартира","Работник","Через друзей","5","С семьей","1","Реже одного раза в год","5","Найти место, где есть обширный выбор услуг","4"
"2024/11/05 8:45:06 PM GMT+5","Аренда","Студент","Через друзей","3","Один(а)","5","Реже одного раза в год","3","Найти надежных людей","5"
"2024/11/06 7:17:55 AM GMT+5","Общежитие","Студент","Через друзей","3","С другом/подругой","4","Реже одного раза в год","3","Найти место, где есть обширный выбор услуг","3"
"2024/11/06 7:21:32 AM GMT+5","Общежитие","Студент","Через друзей","4","С другом/подругой","5","Реже одного раза в год","4","Найти надежных людей","5"
"2024/11/06 2:29:20 PM GMT+5","Собственный дом","Работник","Через друзей","2","С семьей","4","Реже одного раза в год","3","Найти надежных людей","5"
"2024/11/06 2:30:07 PM GMT+5","Собственный дом","Не работаю и не учусь","Через друзей","3","С семьей","5","Реже одного раза в год","1","Найти жилье по удобной цене","5"
"2024/11/06 7:18:00 PM GMT+5","Собственный дом","Не работаю и не учусь","Через социальные сети","2","С семьей","4","Реже одного раза в год","2","Найти надежных людей","5"
"2024/11/06 7:40:30 PM GMT+5","Квартира","Студент","Через друзей","5","С другом/подругой","5","Очень часто","5","Найти жилье по удобной цене","5"
"2024/11/06 7:45:15 PM GMT+5","Общежитие","Студент","Через друзей","2","С соседом/соседкой","5","Каждый год","3","Найти жилье по удобной цене","5"
"2024/11/07 1:32:03 AM GMT+5","Аренда","Работник","Через друзей","4","С другом/подругой","4","Реже одного раза в год","3","Найти надежных людей","5"
"2024/11/07 1:33:11 AM GMT+5","Аренда","Работник","Через друзей","5","С семьей","5","Реже одного раза в год","3","Найти жилье по удобной цене","5"
"2024/11/07 9:13:51 AM GMT+5","Квартира","Работник","Через социальные сети","4","С семьей","4","Каждые полгода","3","Найти надежных людей","5"
"2024/11/07 9:15:35 AM GMT+5","Квартира","Работник","Через социальные сети","5","С другом/подругой","4","Каждый год","2","Найти жилье по удобной цене","5"
"2024/11/07 10:25:25 AM GMT+5","Квартира","Работник","Через друзей","4","С другом/подругой","4","Каждый год","2","Найти надежных людей","5"
"2024/11/07 10:26:29 AM GMT+5","Аренда","Студент","Через друзей","2","С другом/подругой","5","Реже одного раза в год","3","Найти жилье по удобной цене","4"
"2024/11/07 12:42:38 PM GMT+5","Квартира","Студент","Через друзей","4","С другом/подругой","5","Реже одного раза в год","2","Найти надежных людей","5"
"2024/11/07 12:43:26 PM GMT+5","Собственный дом","Работник","Через друзей","2","С другом/подругой","5","Каждые полгода","3","Найти надежных людей","5"
"2024/11/07 12:48:38 PM GMT+5","Квартира","Студент","Через специализированные сайты","3","С семьей","2","Каждые полгода","3","Найти место, где есть обширный выбор услуг","2"
"2024/11/07 12:51:14 PM GMT+5","Квартира","Студент","Через социальные сети","4","С другом/подругой","2","Каждые полгода","3","Найти надежных людей","5"
"2024/11/07 2:16:21 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","5","Каждый год","2","Найти надежных людей","5"
"2024/11/07 2:17:03 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","3","Каждый год","4","Найти надежных людей","5"
"2024/11/07 2:19:28 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","5","Каждые полгода","3","Найти надежных людей","5"
"2024/11/07 2:59:55 PM GMT+5","Собственный дом","Работник","Через друзей","5","С другом/подругой","1","Каждый год","4","Найти надежных людей","5"
"2024/11/07 3:00:31 PM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","5","Каждый год","3","Найти надежных людей","5"
"2024/11/07 3:01:09 PM GMT+5","Квартира","Студент","Через социальные сети","4","С другом/подругой","4","Каждый год","3","Найти надежных людей","5"
"2024/11/07 3:23:00 PM GMT+5","Аренда","Студент","Через друзей","4","С другом/подругой","3","Каждые полгода","3","Найти жилье по удобной цене","5"
"2024/11/07 3:37:53 PM GMT+5","Аренда","Студент","Через друзей","3","С другом/подругой","2","Реже одного раза в год","2","Найти надежных людей","5"
"2024/11/07 3:39:09 PM GMT+5","Собственный дом","Студент","Через друзей","4","С семьей","4","Реже одного раза в год","1","Найти надежных людей","4"
"2024/11/07 3:39:34 PM GMT+5","Общежитие","Студент","Через друзей","5","С соседом/соседкой","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/07 3:39:43 PM GMT+5","Общежитие","Студент","Через друзей","3","С соседом/соседкой","5","Реже одного раза в год","3","Найти жилье по удобной цене","3"
"2024/11/07 3:39:59 PM GMT+5","Общежитие","Студент","Через друзей","1","С соседом/соседкой","5","Реже одного раза в год","5","Найти жилье по удобной цене","4"
"2024/11/07 3:40:10 PM GMT+5","Общежитие","Студент","Через друзей","3","С соседом/соседкой","4","Реже одного раза в год","1","Найти надежных людей","1"
"2024/11/07 3:41:06 PM GMT+5","Аренда","Студент","Через специализированные сайты","5","С другом/подругой","5","Каждые полгода","5","Найти место, где есть обширный выбор услуг","5"
"2024/11/07 3:42:47 PM GMT+5","Аренда","Студент","Через социальные сети","3","С другом/подругой","4","Каждые полгода","4","Найти место, где есть обширный выбор услуг","2"
"2024/11/07 3:43:14 PM GMT+5","Аренда","Студент","Через социальные сети","4","С соседом/соседкой","4","Каждый год","2","Найти надежных людей","5"
"2024/11/07 3:47:11 PM GMT+5","Квартира","Студент","Через друзей","4","С другом/подругой","3","Очень часто","5","Найти надежных людей","4"
"2024/11/07 3:47:37 PM GMT+5","Квартира","Студент","Через друзей","4","С семьей","4","Каждые полгода","4","Найти жилье по удобной цене","3"
"2024/11/07 3:47:54 PM GMT+5","Квартира","Студент","Через друзей","1","С соседом/соседкой","5","Каждые полгода","4","Найти надежных людей","5"
"2024/11/07 3:53:09 PM GMT+5","Аренда","Студент","Через друзей","4","С другом/подругой","5","Каждый год","3","Найти надежных людей","5"
"2024/11/07 3:54:19 PM GMT+5","Собственный дом","Студент","Через друзей","5","С другом/подругой","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/07 3:55:59 PM GMT+5","Собственный дом","Студент","Через социальные сети","3","С соседом/соседкой","5","Очень часто","5","Найти жилье по удобной цене","3"
"2024/11/07 3:57:56 PM GMT+5","Общежитие","Студент","Через друзей","3","С другом/подругой","3","Каждые полгода","4","Найти надежных людей","5"
"2024/11/07 3:59:14 PM GMT+5","Собственный дом","Работник","Через социальные сети","5","С семьей","5","Каждый год","1","Найти надежных людей","3"
"2024/11/07 4:00:42 PM GMT+5","Собственный дом","Студент","Через социальные сети","5","С семьей","5","Реже одного раза в год","5","Найти место, где есть обширный выбор услуг","5"
"2024/11/07 4:09:13 PM GMT+5","Общежитие","Студент","Через друзей","2","С соседом/соседкой","5","Реже одного раза в год","3","Найти надежных людей","3"
"2024/11/07 4:15:13 PM GMT+5","Аренда","Студент","Через друзей","3","С другом/подругой","5","Каждый год","4","Найти надежных людей","3"
"2024/11/07 5:00:47 PM GMT+5","Собственный дом","Не работаю и не учусь","Через специализированные сайты","5","С другом/подругой","4","Каждый год","4","Найти надежных людей","4"
"2024/11/07 5:13:45 PM GMT+5","Аренда","Студент","Через друзей","4","С другом/подругой","5","Каждые полгода","2","Найти надежных людей","5"
"2024/11/07 7:53:15 PM GMT+5","Аренда","Студент","Через друзей","2","С другом/подругой","4","Каждый год","2","Найти жилье по удобной цене","4"
"2024/11/07 8:41:35 PM GMT+5","Общежитие","Студент","Через друзей","5","С соседом/соседкой","4","Каждый год","5","Найти жилье по удобной цене","5"
"2024/11/08 12:12:19 AM GMT+5","Квартира","Студент","Через друзей","2","С другом/подругой","2","Каждый год","5","Найти жилье по удобной цене","3"
"2024/11/08 8:38:47 AM GMT+5","Квартира","Работник","Через друзей","1","С другом/подругой","4","Реже одного раза в год","4","Найти надежных людей","1"
"2024/11/08 9:43:51 PM GMT+5","Аренда","Студент","Через друзей","2","С другом/подругой","5","Каждый год","4","Найти надежных людей","3"
"2024/11/09 9:44:58 AM GMT+5","Аренда","Студент","Через друзей","4","С другом/подругой","5","Каждый год","5","Найти надежных людей","5"
"2024/11/10 5:52:23 AM GMT+5","Квартира","Студент","Через друзей","4","С другом/подругой","5","Каждый год","5","Найти жилье по удобной цене","5"
"2024/11/10 12:28:27 PM GMT+5","Собственный дом","Студент","Через друзей","1","С семьей","1","Каждый год","3","Найти жилье по удобной цене","1"
"2024/11/16 8:06:23 PM GMT+5","Аренда","Студент","Через друзей","3","С другом/подругой","4","Каждый год","4","Найти жилье по удобной цене","3"
